N,Lote,Instalação,Zona,Bairro,Latitude,Longitude,Local,Praça,Endereço,Estado,Cidade,País,Country,Capacidade (em usuários),Google Maps,Controle de Qualidade
82,LOTE0,10/01/2014,ZONA OESTE,Lapa,-23.5253919,-46.6897256,Lapa,PRAÇA CORNÉLIA,R. Crasso  289 - Lapa São Paulo  05043-010,SP,São Paulo,Brasil,Brazil,75,http://goo.gl/maps/ZRZCE,http://simet-publico.ceptro.br/simet-box-history/indexprefeitura.html?idCookie=0418D6954E44
18,LOTE1,10/01/2014,CENTRO,Sé,-23.5439246,-46.634179,Largo São Bento,LARGO SÃO BENTO,Largo São Bento,SP,São Paulo,Brasil,Brazil,100,http://goo.gl/maps/GIMhp,http://simet-publico.ceptro.br/simet-box-history/indexprefeitura.html?idCookie=6466b358f092
13,LOTE1,10/01/2014,CENTRO,Sé,-23.5502757,-46.6393536,República,PRAÇA DA BANDEIRA,Praça da Bandeira,SP,São Paulo,Brasil,Brazil,100,http://goo.gl/maps/yNdnb,http://simet-publico.ceptro.br/simet-box-history/indexprefeitura.html?idCookie=6466b358f106
23,LOTE1,12/01/2014,CENTRO,Sé,-23.5516833,-46.6349531,Praça da Sé,PRAÇA DA SÉ,Praça da Sé,SP,São Paulo,Brasil,Brazil,150,http://goo.gl/maps/RPwxN,http://simet-publico.ceptro.br/simet-box-history/indexprefeitura.html?idCookie=6466b358ee3c
30,LOTE2,12/02/2014,ZONA LESTE,Aricanduva/Formosa/Carrão,-23.5648793,-46.5127128,Aricanduva,PRAÇA SÃO JOÃO VICENZOTTO,Praça São João Vicenzotto,SP,São Paulo,Brasil,Brazil,50,http://goo.gl/maps/srAFg,http://simet-publico.ceptro.br/simet-box-history/indexprefeitura.html?idCookie=6466b358f59e
52,LOTE2,12/02/2014,ZONA LESTE,São Mateus,-23.612283,-46.475584,São Mateus,PRAÇA FELISBERTO FERNANDES DA SILVA / LARGO SÃO MATEUS,Rua Manuel André  88  São Paulo  Brasil,SP,São Paulo,Brasil,Brazil,100,http://goo.gl/maps/NJfnv,http://simet-publico.ceptro.br/simet-box-history/indexprefeitura.html?idCookie=6466b358faac
73,LOTE3,07/03/2014,ZONA NORTE,Santana/Tucuruvi,-23.493981,-46.613976,Santana,PARQUE DOMINGOS LUÍS,Parque Domingos Luis  São Paulo  SP  Brasil,SP,São Paulo,Brasil,Brazil,125,http://goo.gl/maps/S1OCY,http://simet-publico.ceptro.br/simet-box-history/indexprefeitura.html?idCookie=0418D689091D
79,LOTE0,09/03/2014,ZONA OESTE,Lapa,-23.5265451,-46.6775602,Barra Funda,PRAÇA CONDE FRANCISCO MATARAZZO,Praça Conde Francisco Matarazzo Junior  Água Branca  São Paulo - SP  Brasil ?,SP,São Paulo,Brasil,Brazil,50,http://goo.gl/maps/fMhxt,http://simet-publico.ceptro.br/simet-box-history/indexprefeitura.html?idCookie=0418D6890046
95,LOTE0,11/03/2014,ZONA SUL,Vila Mariana,-23.606806,-46.640722,Saúde,PRAÇA SANTA RITA DE CÁSSIA,Praça Santa Rita de Cássia  Mirandópolis  São Paulo  Brasil,SP,São Paulo,Brasil,Brazil,50,http://goo.gl/maps/14dSP,http://simet-publico.ceptro.br/simet-box-history/indexsimetbox.html?idCookie=0418D68902BA
114,LOTE0,11/03/2014,ZONA SUL,M'Boi Mirim,-23.652571,-46.738185,Jardim São Luís,PRAÇA DO FEIRÃO SÃO LUIS,R. Arraial dos Couros  14 - Jardim São Luís São Paulo  05843-140,SP,São Paulo,Brasil,Brazil,75,https://goo.gl/maps/cEAYL,http://simet-publico.ceptro.br/simet-box-history/indexprefeitura.html?idCookie=0418D6890137
55,LOTE2,07/04/2014,ZONA LESTE,São Miguel,-23.4919791,-46.4458079,São Miguel,PRAÇA PADRE ALEIXO (DO FORRÓ),Praça Padre Aleixo Monteiro Mafra  São Miguel Paulista  São Paulo  Brasil,SP,São Paulo,Brasil,Brazil,150,http://goo.gl/maps/O4uz1,http://simet-publico.ceptro.br/simet-box-history/indexprefeitura.html?idCookie=6466b358e9ce
81,LOTE0,08/04/2014,ZONA OESTE,Lapa,-23.546752,-46.748761,Jaguaré,PRAÇA GEN. PORTO CARREIRO,Praça General Porto Carreiro - Jaguare  São Paulo - SP  05331-040  Brasil ?,SP,São Paulo,Brasil,Brazil,75,http://goo.gl/maps/jwLcO,http://simet-publico.ceptro.br/simet-box-history/indexprefeitura.html?idCookie=0418D68FF1EC
102,LOTE0,11/04/2014,ZONA SUL,Capela do Socorro,-23.735407,-46.6920257,Grajaú,CALÇADÃO CULTURAL DO GRAJAÚ,Rua Professor Oscar Barreto Filho  252  Parque América  SP  Brasil,SP,São Paulo,Brasil,Brazil,150,https://goo.gl/maps/lGrTP,http://simet-publico.ceptro.br/simet-box-history/indexprefeitura.html?idCookie=0418D6890140
92,LOTE4,25/04/2014,ZONA OESTE,Pinheiros,-23.5591758,-46.680409,Jardim Paulista,PRAÇA BENEDITO CALIXTO,R. Teodoro Sampaio  1118 - Jardim Paulista São Paulo  05406-050,SP,São Paulo,Brasil,Brazil,250,http://goo.gl/maps/GKMoi,http://simet-publico.ceptro.br/simet-box-history/indexprefeitura.html?idCookie=0418D64D42C2
19,LOTE1,03/05/2014,CENTRO,Sé,-23.5483793,-46.6327699,Páteo do Colégio,PÁTEO DO COLÉGIO,Páteo do Colégio,SP,São Paulo,Brasil,Brazil,50,http://goo.gl/maps/16dGp,http://simet-publico.ceptro.br/simet-box-history/indexprefeitura.html?idCookie=10feed391b7c
47,LOTE2,03/05/2014,ZONA LESTE,Penha,-23.546158,-46.4827062,Artur Alvim,PRAÇA DILVA GOMES MARTINS (COHAB 1),Rua Padre Manuel Barreto  68  COHAB Padre Manoel da Nóbrega  São Paulo - SP  Brasil,SP,São Paulo,Brasil,Brazil,50,http://goo.gl/maps/dqDD6,http://simet-publico.ceptro.br/simet-box-history/indexprefeitura.html?idCookie=6466b358f2ac
22,LOTE1,03/05/2014,CENTRO,Sé,-23.5424498,-46.6303289,Mercado Municipal,MERCADO MUNICIPAL,Rua da Cantareira  206,SP,São Paulo,Brasil,Brazil,250,http://goo.gl/maps/DPfbG,http://simet-publico.ceptro.br/simet-box-history/indexprefeitura.html?idCookie=6466b358f446
4,LOTE1,09/05/2014,CENTRO,Sé,-23.5642275,-46.6201226,Cambuci,LARGO DO CAMBUCI,Rua da Independência  94,SP,São Paulo,Brasil,Brazil,50,http://goo.gl/maps/5mP9k,http://simet-publico.ceptro.br/simet-box-history/indexprefeitura.html?idCookie=6466b358ea5c
6,LOTE1,09/05/2014,CENTRO,Sé,-23.5453859,-46.6495519,Consolação,PRAÇA ROTARY,Rua Major Sertório  561,SP,São Paulo,Brasil,Brazil,100,http://goo.gl/maps/1gnpr,http://simet-publico.ceptro.br/simet-box-history/indexprefeitura.html?idCookie=6466b358e53c
89,LOTE4,11/05/2014,ZONA OESTE,Butantã,-23.6038933,-46.7319971,Vila Sônia,PRAÇA ENG. NORIWUKI YAMAMOTO,Praça Eng. Noriyuki Yamamoto - Jardim Colombo  São Paulo  Brasil,SP,São Paulo,Brasil,Brazil,50,http://goo.gl/maps/azTqC,http://simet-publico.ceptro.br/simet-box-history/indexprefeitura.html?idCookie=0418D68B37D0
59,LOTE2,12/05/2014,ZONA LESTE,Sapopemba,-23.5989888,-46.5164477,Sapopemba,PRAÇA TORQUATO PLAZA,Praça Torquato Plaza  Jardim Grimaldi  São Paulo,SP,São Paulo,Brasil,Brazil,50,http://goo.gl/maps/wN2cb,http://simet-publico.ceptro.br/simet-box-history/indexprefeitura.html?idCookie=6466b358f220
98,LOTE0,15/05/2014,ZONA SUL,Campo Limpo,-23.633992,-46.775788,Campo Limpo,PRAÇA JOÃO TADEU PRIOLLI (PRAÇA DO CAMPO LIMPO),R. Paul Gauguin  21 - Campo Limpo São Paulo  05789-090 ?,SP,São Paulo,Brasil,Brazil,150,http://goo.gl/maps/3xGLO,http://simet-publico.ceptro.br/simet-box-history/indexprefeitura.html?idCookie=0418D6955015
111,LOTE0,21/05/2014,ZONA SUL,Jabaquara,-23.662803,-46.660051,Jabaquara,PARQUE DO NABUCO,Rua Juan de La Cruz  2510  São Paulo  Brasil,SP,São Paulo,Brasil,Brazil,100,https://goo.gl/maps/Tlquf,http://simet-publico.ceptro.br/simet-box-history/indexprefeitura.html?idCookie=0418D6890816
94,LOTE0,26/05/2014,ZONA SUL,Vila Mariana,-23.6037005,-46.6613764,Moema,LARGO DE MOEMA,Praça Nossa Senhora Aparecida - Indianópolis,SP,São Paulo,Brasil,Brazil,125,http://goo.gl/maps/DsCkH,http://simet-publico.ceptro.br/simet-box-history/indexprefeitura.html?idCookie=0418D68B38C2
110,LOTE0,29/05/2014,ZONA SUL,Jabaquara,-23.638043,-46.642778,Jabaquara,PRAÇA ALFREDO EGYDIO DE SOUZA ARANHA (PARQUE LINA E PAULO RAIA),Praça Alfredo Egydio de Souza Aranha,SP,São Paulo,Brasil,Brazil,75,https://goo.gl/maps/sfKiH,http://simet-publico.ceptro.br/simet-box-history/indexprefeitura.html?idCookie=0418D6954E50
11,LOTE1,18/06/2014,CENTRO,Sé,-23.5659755,-46.6396097,Paraíso,CENTRO CULTURAL SÃO PAULO,Rua Vergueiro  1000,SP,São Paulo,Brasil,Brazil,250,https://www.google.com.br/maps/preview?ie=UTF-8&q=Centro+Cultural+S%C3%A3o+Paulo&fb=1&gl=br&hq=Centro+Cultural+S%C3%A3o+Paulo&hnear=Centro+Cultural+S%C3%A3o+Paulo&cid=16463875656597355099&ei=MyZtU_ysNsLgsASe8oLACQ&ved=0CKMBEPwSMBE,http://simet-publico.ceptro.br/simet-box-history/indexprefeitura.html?idCookie=6466b358e654
66,LOTE3,24/06/2014,ZONA NORTE,Jaçanã/Tremembé,-23.4593185,-46.6237557,Tremembé,PRAÇA MARIQUINHA SCIASCIA,Praça Dona Mariquinha Sciascia  Tremembé  São Paulo  Brasil,SP,São Paulo,Brasil,Brazil,75,http://goo.gl/maps/2gMFN,http://simet-publico.ceptro.br/simet-box-history/indexprefeitura.html?idCookie=6466b358e65e
65,LOTE3,25/06/2014,ZONA NORTE,Jaçanã/Tremembé,-23.4673366,-46.5863102,Jaçanã,PRAÇA DOUTOR JOÃO BATISTA VASQUES,Rua Benjamin Pereira  762  Jaçanã  São Paulo  Brasil,SP,São Paulo,Brasil,Brazil,100,http://goo.gl/maps/ObJbw,http://simet-publico.ceptro.br/simet-box-history/indexprefeitura.html?idCookie=0418D69550D3
74,LOTE3,26/06/2014,ZONA NORTE,Santana/Tucuruvi,-23.4893517,-46.6095508,Tucuruvi,PRAÇA NOSSA SENHORA DOS PRAZERES,Praça Nossa Senhora dos Prazeres  Vila Dom Pedro II  São Paulo - SP  Brasil?,SP,São Paulo,Brasil,Brazil,50,http://goo.gl/maps/XujWY,http://simet-publico.ceptro.br/simet-box-history/indexprefeitura.html?idCookie=0418d669d27c
75,LOTE3,26/06/2014,ZONA NORTE,Vila Maria/Vila Guilherme,-23.5075227,-46.6010998,Vila Guilherme,PRAÇA OSCAR DA SILVA,Praça Oscar da Silva - Vila Guilherme  São Paulo - SP  02067-070  Brasil,SP,São Paulo,Brasil,Brazil,75,http://goo.gl/maps/OhIni,http://simet-publico.ceptro.br/simet-box-history/indexprefeitura.html?idCookie=0418D6954E51
7,LOTE1,27/06/2014,CENTRO,Sé,-23.5484314,-46.6462197,Consolação,PRAÇA ROOSEVELT,Praça Roosevelt,SP,São Paulo,Brasil,Brazil,250,http://goo.gl/maps/Psmxm,http://simet-publico.ceptro.br/simet-box-history/indexprefeitura.html?idCookie=6466b3591742
86,LOTE4,30/06/2014,ZONA OESTE,Butantã,-23.5893879,-46.7013233,Morumbi,PARQUE ALFREDO VOLPI,Av. Eng. Oscar Americano  480 - Morumbi  São Paulo  05673-050,SP,São Paulo,Brasil,Brazil,75,http://goo.gl/maps/obxjS,http://simet-publico.ceptro.br/simet-box-history/indexprefeitura.html?idCookie=0418D68908FE
109,LOTE0,11/07/2014,ZONA SUL,Ipiranga,-23.641644,-46.596379,Sacomã,PRAÇA DIRCEU DE CASTRO FONTOURA,Rua Amadeu Giusti  203-251 - Sacomã  São Paulo - SP  04182-080,SP,São Paulo,Brasil,Brazil,75,https://goo.gl/maps/cw5Ap,http://simet-publico.ceptro.br/simet-box-history/indexsimetbox.html?idCookie=0418D6954E4F
61,LOTE3,14/07/2014,ZONA NORTE,Casa Verde/Cachoeirinha,-23.4959579,-46.6628014,Praça das Monções,TERMINAL CASA VERDE,Rua Bahia Formosa  90  São Paulo,SP,São Paulo,Brasil,Brazil,100,http://goo.gl/maps/geFT5,http://simet-publico.ceptro.br/simet-box-history/indexprefeitura.html?idCookie=0418D6954E97
85,LOTE4,16/07/2014,ZONA OESTE,Butantã,-23.576291,-46.73152,Butantã,PRAÇA ELIS REGINA,Praça Elis Regina,SP,São Paulo,Brasil,Brazil,75,http://goo.gl/maps/DB97Z,http://simet-publico.ceptro.br/simet-box-history/indexprefeitura.html?idCookie=0418D6955004
63,LOTE3,23/07/2014,ZONA NORTE,Freguesia/Brasilândia,-23.450796,-46.6880572,Brasilândia,PRAÇA NA RUA DAS IBIRAIARAS,Rua das Ibiraiaras  400,SP,São Paulo,Brasil,Brazil,100,http://goo.gl/maps/S7ui0,http://simet-publico.ceptro.br/simet-box-history/indexprefeitura.html?idCookie=0418D68FF10B
113,LOTE0,09/08/2014,ZONA SUL,M'Boi Mirim,-23.721894,-46.785230,Jardim Ângela,PRAÇA DO LARGO DE PIRAPORINHA,Estrada do M’Boi Mirim  1.000,SP,São Paulo,Brasil,Brazil,75,https://goo.gl/maps/Cn64K,http://simet-publico.ceptro.br/simet-box-history/indexprefeitura.html?idCookie=c46e1f302222
49,LOTE2,10/08/2014,ZONA LESTE,Penha,-23.5256169,-46.5491141,Penha,LARGO DO ROSÁRIO,Largo do Rosário  15  São Paulo  Brasil,SP,São Paulo,Brasil,Brazil,50,http://goo.gl/maps/t0IEO,http://simet-publico.ceptro.br/simet-box-history/indexprefeitura.html?idCookie=10feed59F28a
54,LOTE2,10/08/2014,ZONA LESTE,São Miguel,-23.4793534,-46.4191577,Jardim Helena,PRAÇA CRAVEIRO DO CAMPO,Rua Kumaki Aoki  1074  Jardim Helena  São Paulo  Brasil,SP,São Paulo,Brasil,Brazil,50,http://goo.gl/maps/907xr,http://simet-publico.ceptro.br/simet-box-history/indexprefeitura.html?idCookie=6466b3590180
53,LOTE2,10/08/2014,ZONA LESTE,São Mateus,-23.6218509,-46.4680877,São Rafael,PRAÇA OSVALDO LUÍS DA SILVEIRA,Rua Ponte do Guaré  88  São Paulo  Brasil,SP,São Paulo,Brasil,Brazil,50,http://goo.gl/maps/xEY4z,http://simet-publico.ceptro.br/simet-box-history/indexprefeitura.html?idCookie=6466b358ef20
32,LOTE2,10/08/2014,ZONA LESTE,Aricanduva/Formosa/Carrão,-23.567338,-46.5410358,Vila Formosa,PRAÇA SAMPAIO VIDAL,Praça Doutor Sampaio Vidal,SP,São Paulo,Brasil,Brazil,50,http://goo.gl/maps/qe92V,http://simet-publico.ceptro.br/simet-box-history/indexprefeitura.html?idCookie=0418D6954EBB
14,LOTE1,12/08/2014,CENTRO,Sé,-23.5427245,-46.6383969,República,LARGO DO PAISSANDÚ,Largo do Paissandu,SP,São Paulo,Brasil,Brazil,50,http://goo.gl/maps/1Z6SH,http://simet-publico.ceptro.br/simet-box-history/indexprefeitura.html?idCookie=6466b358f460
107,LOTE0,12/08/2014,ZONA SUL,Ipiranga,-23.633802,-46.613742,Cursino,LARGO SANTA ANGELA,R. Sebastiano Mazzoni  193 - Vila Brasilina  Cursino São Paulo  04171-000,SP,São Paulo,Brasil,Brazil,75,https://goo.gl/maps/VNrI2,http://simet-publico.ceptro.br/simet-box-history/indexprefeitura.html?idCookie=0418D68FF1C4
44,LOTE2,12/08/2014,ZONA LESTE,Itaquera,-23.5440745,-46.4350873,José Bonifácio,PRAÇA BRASIL (PRAÇA MÃE MENININHA DO GANTOIS),Rua Cecília Porto  9  São Paulo  Brasil,SP,São Paulo,Brasil,Brazil,150,http://goo.gl/maps/GGCCG,http://simet-publico.ceptro.br/simet-box-history/indexprefeitura.html?idCookie=6466b358da0a
15,LOTE1,12/08/2014,CENTRO,Sé,-23.5436065,-46.6418541,República,PRAÇA DA REPÚBLICA,Praça da República,SP,São Paulo,Brasil,Brazil,250,http://goo.gl/maps/tMD1R,http://simet-publico.ceptro.br/simet-box-history/indexprefeitura.html?idCookie=6466b358dc14
48,LOTE2,14/08/2014,ZONA LESTE,Penha,-23.5141791,-46.532708,Cangaíba,PARQUE LINEAR TIQUATIRA,Avenida Governador Carvalho Pinto  1759  São Paulo  Brasil,SP,São Paulo,Brasil,Brazil,100,http://goo.gl/maps/UP32r,http://simet-publico.ceptro.br/simet-box-history/indexprefeitura.html?idCookie=6466b358de46
5,LOTE1,18/08/2014,CENTRO,Sé,-23.546542,-46.6413936,Consolação,PRAÇA DOM JOSÉ GASPAR,Rua Doutor Bráulio Gomes  49,SP,São Paulo,Brasil,Brazil,150,http://goo.gl/maps/ESqLU,http://simet-publico.ceptro.br/simet-box-history/indexprefeitura.html?idCookie=6466b358f40c
72,LOTE3,19/08/2014,ZONA NORTE,Santana/Tucuruvi,-23.475144,-46.6388556,Mandaqui,PRAÇA VEREADOR ANTONIO SAMPAIO / AV ULTRAMARINO,Avenida Ultramarino  262  São Paulo  Brasil,SP,São Paulo,Brasil,Brazil,50,http://goo.gl/maps/FfjX2,http://simet-publico.ceptro.br/simet-box-history/indexprefeitura.html?idCookie=0418D6954EBB
80,LOTE0,22/08/2014,ZONA OESTE,Lapa,-23.5084351,-46.7506635,Jaguara,PRAÇA GENERAL GUIMARÃES,Praça General Guimarães  São Paulo - SP  Brasil,SP,São Paulo,Brasil,Brazil,50,http://goo.gl/maps/DnDCJ,http://simet-publico.ceptro.br/simet-box-history/indexprefeitura.html?idCookie=c46e1f30241c
62,LOTE3,27/08/2014,ZONA NORTE,Casa Verde/Cachoeirinha,-23.5056918,-46.6729879,Limão,PRAÇA MARCO ANTONIO PRIMON MAESTRE,Praça Marco Antônio Primon Maestre - Limão  São Paulo - SP  02710-030  Brasil,SP,São Paulo,Brasil,Brazil,75,http://goo.gl/maps/6sCic,http://simet-publico.ceptro.br/simet-box-history/indexprefeitura.html?idCookie=0418D6954F77
101,LOTE0,28/08/2014,ZONA SUL,Capela do Socorro,-23.709470,-46.698853,Cidade Dutra,PRAÇA ESCOLAR,Praça Escolar  Cidade Dutra  São Paulo - SP  Brasil,SP,São Paulo,Brasil,Brazil,100,https://goo.gl/maps/37J1Z,http://simet-publico.ceptro.br/simet-box-history/indexprefeitura.html?idCookie=0418D6954EA0
2,LOTE1,29/08/2014,CENTRO,Sé,-23.5624259,-46.6458824,Bela Vista,PRAÇA DON ORIONE,Viaduto Armando Puglisi,SP,São Paulo,Brasil,Brazil,50,http://goo.gl/maps/vcXAi,http://simet-publico.ceptro.br/simet-box-history/indexprefeitura.html?idCookie=6466b358e58e
25,LOTE2,29/08/2014,ZONA LESTE,Mooca,-23.5312773,-46.6027808,Belém,PRAÇA GENERAL HUMBERTO DE SOUSA MELLO,Rua Marcos Arruda  782,SP,São Paulo,Brasil,Brazil,75,http://goo.gl/maps/EKYbg,http://simet-publico.ceptro.br/simet-box-history/indexprefeitura.html?idCookie=6466b358e5cc
68,LOTE3,29/08/2014,ZONA NORTE,Perus,-23.4094194,-46.7578096,Perus,PRAÇA VIGÁRIO JOÃO G. DE LIMA (PRAÇA DO SAMBA),Praça Vigário João Gonçalves de Lima  São Paulo  Brasil,SP,São Paulo,Brasil,Brazil,75,http://goo.gl/maps/z0SlV,http://simet-publico.ceptro.br/simet-box-history/indexprefeitura.html?idCookie=0418D689080E
8,LOTE1,29/08/2014,CENTRO,Sé,-23.5725626,-46.6288549,Liberdade,PARQUE DA ACLIMAÇÃO,R. Muniz de Sousa  1119,SP,São Paulo,Brasil,Brazil,150,http://goo.gl/maps/JOUkj,http://simet-publico.ceptro.br/simet-box-history/indexprefeitura.html?idCookie=6466b358e5b0
60,LOTE3,05/09/2014,ZONA NORTE,Casa Verde/Cachoeirinha,-23.4738711,-46.6672241,Cachoeirinha,LARGO DO JAPONES,Largo do Japonês  São Paulo  Brasil,SP,São Paulo,Brasil,Brazil,100,http://goo.gl/maps/Tss3H,http://simet-publico.ceptro.br/simet-box-history/indexprefeitura.html?idCookie=10feed391bcc
120,LOTE0,05/09/2014,ZONA SUL,Santo Amaro,-23.651345,-46.707425,Santo Amaro,PRAÇA FLORIANO PEIXOTO,Praça Floriano Peixoto  Santo Amaro São Paulo - SP  04751-030,SP,São Paulo,Brasil,Brazil,150,https://goo.gl/maps/xT1ru,http://simet-publico.ceptro.br/simet-box-history/indexprefeitura.html?idCookie=0418D693E721
105,LOTE0,09/09/2014,ZONA SUL,Cidade Ademar,-23.680806,-46.638981,Cidade Ademar,PRAÇA BACHAREL FERNANDO BRAGA PEREIRA DA ROCHA,Praça Bacharel Fernando Braga Pereira da Rocha  04417-090 - Jardim Miriam  São Paulo,SP,São Paulo,Brasil,Brazil,75,http://goo.gl/maps/YGttf,http://simet-publico.ceptro.br/simet-box-history/indexprefeitura.html?idCookie=0418D68FF1C5
118,LOTE0,17/09/2014,ZONA SUL,Santo Amaro,-23.6254099,-46.6634494,Campo Belo,CDC CAMPO BELO,Rua Sapoti  20,SP,São Paulo,Brasil,Brazil,50,https://goo.gl/maps/joQpP,http://simet-publico.ceptro.br/simet-box-history/indexsimetbox.html?idCookie=0418D689059F
